config,fold,n_features,roc_auc,pr_auc,f1,accuracy,precision,recall,brier
5_Raw_Plus_Composite_And_Interaction,2,20,0.6709098287073151,0.5134258412405412,0.4361924686192469,0.7013022998060404,0.5635135135135135,0.35580204778157,0.20465092595370088
5_Raw_Plus_Composite_And_Interaction,3,20,0.6582335608179363,0.49088054748457033,0.42392444910807975,0.6957605985037406,0.5504087193460491,0.3447098976109215,0.20926424161320298
5_Raw_Plus_Composite_And_Interaction,4,20,0.672401719308413,0.5236292393713023,0.4418604651162791,0.7073981712385703,0.5813630041724618,0.35635123614663256,0.2027481301664674
5_Raw_Plus_Composite_And_Interaction,5,20,0.6676372947979792,0.5110785285135018,0.44317592112091336,0.7026877251316154,0.5663129973474801,0.3640238704177323,0.20527307475638307
5_Raw_Plus_Composite_And_Interaction,6,20,0.6611644996975794,0.5054955927263898,0.43354430379746833,0.7024930747922438,0.5684647302904564,0.35038363171355497,0.20687103128831763
5_Raw_Plus_Composite_And_Interaction,7,20,0.6731421935154983,0.5227023599227225,0.44260599793174765,0.7013022998060404,0.5616797900262467,0.3651877133105802,0.20320931250988758
5_Raw_Plus_Composite_And_Interaction,8,20,0.6537823108196869,0.49663523630900164,0.4184322033898305,0.6957605985037406,0.5516759776536313,0.3370307167235495,0.20895174339186862
5_Raw_Plus_Composite_And_Interaction,9,20,0.6658834448322057,0.5177196843192411,0.44062332079527133,0.7115544472152951,0.5959302325581395,0.3495311167945439,0.20468854413405824
5_Raw_Plus_Composite_And_Interaction,10,20,0.6658076773937961,0.5013000246147707,0.439855446566856,0.6993627043502355,0.5575916230366492,0.3631713554987212,0.20756984605714415
5_Raw_Plus_Composite_And_Interaction,11,20,0.6750688536105598,0.526243945363123,0.4625779625779626,0.7135734072022161,0.59254327563249,0.3793691389599318,0.20240876112049636
5_Raw_Plus_Composite_And_Interaction,12,20,0.6632619835555661,0.5055375181017718,0.4408206207259337,0.7054585757827653,0.5747599451303155,0.3575085324232082,0.2068275215008108
5_Raw_Plus_Composite_And_Interaction,13,20,0.6691557277523279,0.49376606504108744,0.4322033898305085,0.7029648101967304,0.5698324022346368,0.34812286689419797,0.206297431886922
5_Raw_Plus_Composite_And_Interaction,14,20,0.6703587981919403,0.5122613146242947,0.45168067226890757,0.7107231920199502,0.5882352941176471,0.36658141517476556,0.20445559337939462
